currency_pair,total_records,source_type,earliest_date,latest_date,min_rate,max_rate,avg_rate
EUR/GHS,2,unknown,2025-06-08,2025-06-09,12.32,12.3816,12.350800037384033
EUR/KES,2757,alpha_vantage,2014-11-07,2025-06-06,96.355,176.92,124.88748718804106
EUR/NGN,2,unknown,2025-06-08,2025-06-09,1791.95,1802.9478,1797.4488525390625
EUR/PKR,2756,alpha_vantage,2014-11-07,2025-06-06,106.86,332.393,189.558330344877
GBP/GHS,2,unknown,2025-06-08,2025-06-09,14.63,14.7002,14.66510009765625
GBP/INR,87,unknown,2025-02-06,2025-06-06,107.9353,116.448,112.17865744404409
GBP/KES,2758,alpha_vantage,2014-11-07,2025-06-06,120.23,206.8,146.83628703304785
GBP/NGN,2493,alpha_vantage,2014-11-07,2025-06-09,263.33,2235.2,696.7283351391709
GBP/PKR,2758,alpha_vantage,2014-11-07,2025-06-06,125.875,387.131,222.65116423675337
USD/GHS,2736,alpha_vantage,2014-11-07,2025-06-06,3.17,18.81,7.101326111203049
USD/KES,2759,alpha_vantage,2014-11-07,2025-06-06,89.7,162.98,111.79533499606755
USD/NGN,2488,alpha_vantage,2014-11-07,2025-06-05,165.75,1687.784,535.7896417697526
USD/NGN,1,unknown,2025-06-06,2025-06-06,1567.815,1567.815,1567.81494140625